title,description,date,time
Morning Coffee,Open discussion between CDS team and guest ,06/19/2020,8:30 - 9:00
Backlog Refinement,Ensures the user stories in the product backlog are ready for sprint planning,06/20/2020,8:30 - 9:00
Intern Standup,Intern team's daily status/progess meeting ,06/19/2020,4:30 - 5:00
Daily Standup,CDS team's daily status/progress meeting,06/19/2020,9:00 - 9:30
Java with Jim,Jim Franny gives ECC team updates,06/18/2020,9:30 - 10:00
Demo Out ,Team members demo out project ,06/16/2020,9:00 - 10:00
Retrospective,Reviews positives and negatives of prior sprint,06/16/2020,10:00 - 10:30
Sprint Planning,Ensures the users stories in sprint backlog are ready for sprint,06/20/2020,9:00 - 9:30
Morning Coffee,Open discussion between CDS team and guEDT ,"M, W, F",8:30 am EDT
Backlog Refinement,Ensures the user stories in the product backlog are ready for sprint planning,M,12:00 pm EDT
Intern Standup,Intern team's daily status/progess meeting ,"M, T, W, TH, F",4:30 pm EDT
Daily Standup,CDS team's daily status/progress meeting,"M, T, W, TH, F",9:00 am EDT
Java with Jim,Jim Franny gives ECC team updates,TH,9:30 am EDT
Intern Demo Out ,Team members demo out daily progress/project ,"M, T, W, TH, F",4:30 pm EDT
Sprint Demo,Team members demo out sprint project,T,9:00 am EDT
Sprint Retrospective,Reviews positives and negatives of prior sprint,T,9:00 am EDT
Sprint Planning,Ensures the users stories in sprint backlog are ready for sprint,W,12:00 pm EDT 
